date,sentiment_score,article_count,language,sentiment_standardized,date_numeric,trend
2025-08-27,-0.8442087173461914,1,English,-2.289674798526757,0,-0.9899623132323475
2025-08-30,-0.9495778679847716,1,English,-2.491379117612505,3,-0.9565122592051886
2025-09-10,-0.9423425197601318,1,English,-2.477528754596815,14,-0.8338620611056057
2025-09-17,0.0,1,English,-0.6736368645907151,21,-0.7558119350422348
2025-09-23,0.0,1,English,-0.6736368645907151,27,-0.6889118269879169
2025-09-27,0.944301187992096,1,English,1.1340044325203003,31,-0.6443117549517049
2025-10-04,0.8450037837028503,1,English,0.9439230358518984,38,-0.566261628888334
2025-10-13,0.9568681716918944,1,English,1.158060950721003,47,-0.46591146680685713
2025-10-14,0.9381394982337952,1,English,1.1222093347181108,48,-0.4547614487978041
2025-10-18,0.9441251754760742,1,English,1.1336674981853496,52,-0.41016137676159214
2025-10-19,-0.7981115579605103,1,English,-2.201432688864428,53,-0.39901135875253924
2025-11-01,0.0,1,English,-0.6736368645907151,66,-0.2540611246348504
2025-11-10,-0.0126446783542633,2,English,-0.697842110832599,75,-0.15371096255337346
2025-11-22,0.8611272871494293,2,English,0.9747876699906324,87,-0.01991074644473767
2025-11-24,0.8763225078582764,1,English,1.0038753263669138,89,0.0023892895733683694
2025-12-01,-0.067022830247879,2,English,-0.8019362221960362,96,0.08043941563673929
2025-12-03,0.9120429158210754,1,English,1.0722535995326035,98,0.1027394516548451
2025-12-06,0.1377385258674621,6,English,-0.4099690319888754,101,0.13618950568200427
2025-12-07,0.0266666666666666,75,Arabic,-0.6769503879121679,0,-0.48684669588813934
2025-12-07,0.2970297402805752,9,English,-0.10504367437880023,102,0.14733952369105718
2025-12-08,0.3171955466270447,5,English,-0.06644100734315657,103,0.1584895417001101
2025-12-08,0.0909090909090909,77,Arabic,0.4345773218351725,1,-0.4543902494955967
2025-12-09,0.6685835719108582,5,English,0.606208263769089,104,0.16963955970916322
2025-12-09,0.0689655172413793,87,Arabic,0.05490780484275006,2,-0.42193380310305406
2025-12-10,-0.0111111111111111,90,Arabic,-1.3305846071661052,3,-0.3894773567105114
2025-12-10,0.1712851673364639,4,English,-0.3457519206796263,105,0.18078957771821613
2025-12-11,0.0285714285714285,105,Arabic,-0.6439940407228938,4,-0.3570209103179688
2025-12-12,-0.0597014925373134,67,Arabic,-2.171299384345227,5,-0.32456446392542615
2025-12-13,0.1723657803876059,7,English,-0.3436833425582804,108,0.21423963174537508
2025-12-13,0.088235294117647,68,Arabic,0.38831506976466634,6,-0.29210801753288357
2025-12-14,0.6071052125522068,7,English,0.48852248441342455,109,0.225389649754428
2025-12-14,0.0970873786407767,103,Arabic,0.5414745644835246,7,-0.25965157114034093
2025-12-15,-0.0217391304347826,92,Arabic,-1.5144714719178525,8,-0.2271951247477983
2025-12-15,0.4722291946411133,5,English,0.2303342463107119,110,0.23653966776348112
2025-12-16,0.0865384615384615,104,Arabic,0.35895633287376916,9,-0.19473867835525566
2025-12-16,0.5912719219923019,4,English,0.45821339421085916,111,0.24768968577253403
2025-12-17,0.7947638183832169,8,English,0.8477505040029235,112,0.25883970378158694
2025-12-17,0.0714285714285714,70,Arabic,0.09752377103577677,10,-0.16228223196271302
2025-12-18,0.0923076923076923,65,Arabic,0.45877603830282143,11,-0.12982578557017038
2025-12-18,0.0,1,English,-0.6736368645907151,113,0.26998972179064007
2025-12-19,0.3682993054389953,2,English,0.031385052859635554,114,0.281139739799693
2025-12-19,0.0140845070422535,71,Arabic,-0.8946479489230066,12,-0.0973693391776278
2025-12-20,0.08,75,Arabic,0.2458273333875113,13,-0.06491289278508516
2025-12-20,0.3267554998397827,5,English,-0.04814073784700193,115,0.2922897578087459
2025-12-21,0.6138232265199933,7,English,0.5013825333439583,116,0.303439775817799
2025-12-21,0.0326086956521739,92,Arabic,-0.5741409135282355,14,-0.032456446392542526
2025-12-22,0.7358161012331644,6,English,0.7349090406585547,117,0.3145897938268519
2025-12-22,0.0609756097560975,82,Arabic,-0.08333423183219205,15,1.1102230246251565e-16
2025-12-23,0.425385038057963,6,English,0.14066218717872014,118,0.32573981183590484
2025-12-23,0.0555555555555555,90,Arabic,-0.1771124555415088,16,0.03245644639254275
2025-12-24,0.4995103677113851,6,English,0.2825576001543258,119,0.33688982984495797
2025-12-24,0.1538461538461538,91,Arabic,1.5235195628793723,17,0.06491289278508539
2025-12-25,0.0266666666666666,75,Arabic,-0.6769503879121679,18,0.09736933917762802
2025-12-26,0.0684931506849315,73,Arabic,0.04673487981943,19,0.12982578557017066
2025-12-27,0.0588235294117647,68,Arabic,-0.12056970301089041,20,0.1622822319627133
2025-12-27,0.1150831613275739,9,English,-0.45333736940512487,122,0.3703398838721169
2025-12-28,0.1463414634146341,82,Arabic,1.3936727915895493,21,0.19473867835525593
2025-12-28,0.4853272504276699,9,English,0.2554073764229254,123,0.3814899018811698
2025-12-29,0.1147540983606557,61,Arabic,0.8471456025950876,22,0.22719512474779857
2025-12-29,0.6650319695472717,4,English,0.5994095609982208,124,0.39263991989022295
2025-12-30,0.7704532444477081,4,English,0.8012136596559014,125,0.40378993789927586
2025-12-30,0.0777777777777777,90,Arabic,0.20737826166668996,23,0.2596515711403412
2025-12-31,0.9166582226753236,1,English,1.081088512984654,126,0.4149399559083288
2025-12-31,0.1595744680851064,94,Arabic,1.6226313271351693,24,0.29210801753288373
2026-01-01,0.1486486486486486,74,Arabic,1.4335919003306772,25,0.32456446392542637
2026-01-02,0.7575828433036804,1,English,0.7765763205164699,128,0.4372399919264348
2026-01-02,0.0294117647058823,68,Arabic,-0.6294544757864489,26,0.357020910317969
2026-01-03,0.020464152097702,6,English,-0.6344630851731289,129,0.4483900099354877
2026-01-03,0.1774193548387097,62,Arabic,1.9313850259228105,27,0.38947735671051165
2026-01-04,0.0857142857142857,70,Arabic,0.34469637495533373,28,0.4219338031030543
2026-01-04,0.1861841902136802,8,English,-0.3172312650011931,130,0.45954002794454085
2026-01-05,-0.0396039603960396,101,Arabic,-1.8235702297251328,29,0.4543902494955969
2026-01-06,0.0303030303030303,33,Arabic,-0.6140337250962796,30,0.48684669588813956
