date,sentiment_score,article_count,language,sentiment_standardized,date_numeric,trend,pp_change
2025-08-27,-0.8442087173461914,1,English,-2.289674798526757,0,-0.9899623132323476,0.0
2025-08-30,-0.9495778679847716,1,English,-2.491379117612505,3,-0.9565122592051886,-0.20170431908574793
2025-09-10,-0.9423425197601318,1,English,-2.477528754596815,14,-0.8338620611056057,-0.18785395607005828
2025-09-17,0.0,1,English,-0.6736368645907151,21,-0.7558119350422348,1.6160379339360418
2025-09-23,0.0,1,English,-0.6736368645907151,27,-0.6889118269879169,1.6160379339360418
2025-09-27,0.944301187992096,1,English,1.1340044325203005,31,-0.6443117549517049,3.4236792310470574
2025-10-04,0.8450037837028503,1,English,0.9439230358518984,38,-0.566261628888334,3.2335978343786556
2025-10-13,0.9568681716918944,1,English,1.158060950721003,47,-0.4659114668068571,3.4477357492477596
2025-10-14,0.9381394982337952,1,English,1.1222093347181108,48,-0.4547614487978041,3.4118841332448677
2025-10-18,0.9441251754760742,1,English,1.1336674981853496,52,-0.4101613767615921,3.4233422967121063
2025-10-19,-0.7981115579605103,1,English,-2.201432688864428,53,-0.3990113587525392,0.08824210966232915
2025-11-01,0.0,1,English,-0.6736368645907151,66,-0.2540611246348504,1.6160379339360418
2025-11-10,-0.0126446783542633,2,English,-0.697842110832599,75,-0.1537109625533734,1.591832687694158
2025-11-22,0.8611272871494293,2,English,0.9747876699906324,87,-0.0199107464447376,3.2644624685173893
2025-11-24,0.8763225078582764,1,English,1.0038753263669138,89,0.0023892895733683,3.2935501248936707
2025-12-01,-0.067022830247879,2,English,-0.8019362221960362,96,0.0804394156367392,1.4877385763307207
2025-12-03,0.9120429158210754,1,English,1.0722535995326037,98,0.1027394516548451,3.3619283980593604
2025-12-06,0.1377385258674621,6,English,-0.4099690319888754,101,0.1361895056820042,1.8797057665378816
2025-12-07,0.0266666666666666,75,Arabic,-0.6769503879121679,0,-0.4868466958881393,0.0
2025-12-07,0.2970297402805752,9,English,-0.1050436743788002,102,0.1473395236910571,2.184631124147957
2025-12-08,0.3171955466270447,5,English,-0.0664410073431565,103,0.1584895417001101,2.2232337911836004
2025-12-08,0.0909090909090909,77,Arabic,0.4345773218351725,1,-0.4543902494955967,1.1115277097473404
2025-12-09,0.6685835719108582,5,English,0.606208263769089,104,0.1696395597091632,2.895883062295846
2025-12-09,0.0689655172413793,87,Arabic,0.05490780484275,2,-0.421933803103054,0.7318581927549179
2025-12-10,-0.0111111111111111,90,Arabic,-1.3305846071661052,3,-0.3894773567105114,-0.6536342192539373
2025-12-10,0.1712851673364639,4,English,-0.3457519206796263,105,0.1807895777182161,1.9439228778471307
2025-12-11,0.0285714285714285,105,Arabic,-0.6439940407228938,4,-0.3570209103179688,0.03295634718927409
2025-12-12,-0.0597014925373134,67,Arabic,-2.171299384345227,5,-0.3245644639254261,-1.4943489964330592
2025-12-13,0.1723657803876059,7,English,-0.3436833425582804,108,0.214239631745375,1.9459914559684766
2025-12-13,0.088235294117647,68,Arabic,0.3883150697646663,6,-0.2921080175328835,1.0652654576768341
2025-12-14,0.6071052125522068,7,English,0.4885224844134245,109,0.225389649754428,2.7781972829401815
2025-12-14,0.0970873786407767,103,Arabic,0.5414745644835246,7,-0.2596515711403409,1.2184249523956925
2025-12-15,-0.0217391304347826,92,Arabic,-1.5144714719178525,8,-0.2271951247477983,-0.8375210840056846
2025-12-15,0.4722291946411133,5,English,0.2303342463107119,110,0.2365396677634811,2.520009044837469
2025-12-16,0.0865384615384615,104,Arabic,0.3589563328737691,9,-0.1947386783552556,1.035906720785937
2025-12-16,0.5912719219923019,4,English,0.4582133942108591,111,0.247689685772534,2.747888192737616
2025-12-17,0.7947638183832169,8,English,0.8477505040029235,112,0.2588397037815869,3.1374253025296803
2025-12-17,0.0714285714285714,70,Arabic,0.0975237710357767,10,-0.162282231962713,0.7744741589479446
2025-12-18,0.0923076923076923,65,Arabic,0.4587760383028214,11,-0.1298257855701703,1.1357264262149893
2025-12-18,0.0,1,English,-0.6736368645907151,113,0.26998972179064,1.6160379339360418
2025-12-19,0.3682993054389953,2,English,0.0313850528596355,114,0.281139739799693,2.3210598513863925
2025-12-19,0.0140845070422535,71,Arabic,-0.8946479489230066,12,-0.0973693391776278,-0.2176975610108387
2025-12-20,0.08,75,Arabic,0.2458273333875113,13,-0.0649128927850851,0.9227777212996792
2025-12-20,0.3267554998397827,5,English,-0.0481407378470019,115,0.2922897578087459,2.241534060679755
2025-12-21,0.6138232265199933,7,English,0.5013825333439583,116,0.303439775817799,2.7910573318707153
2025-12-21,0.0326086956521739,92,Arabic,-0.5741409135282355,14,-0.0324564463925425,0.1028094743839324
2025-12-22,0.7358161012331644,6,English,0.7349090406585547,117,0.3145897938268519,3.0245838391853117
2025-12-22,0.0609756097560975,82,Arabic,-0.083334231832192,15,1.1102230246251563e-16,0.5936161560799759
2025-12-23,0.425385038057963,6,English,0.1406621871787201,118,0.3257398118359048,2.430336985705477
2025-12-23,0.0555555555555555,90,Arabic,-0.1771124555415088,16,0.0324564463925427,0.4998379323706591
2025-12-24,0.4995103677113851,6,English,0.2825576001543258,119,0.3368898298449579,2.572232398681083
2025-12-24,0.1538461538461538,91,Arabic,1.5235195628793723,17,0.0649128927850853,2.20046995079154
2025-12-25,0.0266666666666666,75,Arabic,-0.6769503879121679,18,0.097369339177628,0.0
2025-12-26,0.0684931506849315,73,Arabic,0.04673487981943,19,0.1298257855701706,0.7236852677315979
2025-12-27,0.0588235294117647,68,Arabic,-0.1205697030108904,20,0.1622822319627133,0.5563806849012775
