region,code,year,patents,V,G,ratio,voc_share
Anhui,340000,1995,,32014.0,73700.0,0.43438263229308005,0.30283595361068544
Anhui,340000,1996,,42653.0,80000.0,0.5331625,0.34775341817974287
Anhui,340000,1997,,39163.0,89700.0,0.43659977703455966,0.303911906443277
Anhui,340000,1998,,44624.0,107858.0,0.4137291624172523,0.2926509358481657
Anhui,340000,1999,,48023.0,111465.0,0.4308347911900597,0.3011072933386838
Anhui,340000,2000,,60437.0,131453.0,0.4597612835005667,0.31495648548647664
Anhui,340000,2001,296.0,64990.0,149221.0,0.43552851140255056,0.3033924495007259
Anhui,340000,2002,,66124.0,170033.0,0.38888921562284967,0.2800001693788454
Anhui,340000,2003,,46134.0,209603.0,0.2201018115198733,0.18039626647688836
Anhui,340000,2004,658.0,110613.0,248451.0,0.44521052440923964,0.3080592874807834
Anhui,340000,2005,903.0,144932.0,300950.0,0.481581658082738,0.3250456398778152
Anhui,340000,2006,1274.0,173287.0,332059.0,0.5218560557009447,0.3429076316029018
Anhui,340000,2007,1602.0,219520.0,396525.0,0.5536094823781603,0.3563376052074118
Anhui,340000,2008,2729.0,269384.0,437481.0,0.6157615987894332,0.3810968148090512
Anhui,340000,2009,4465.0,275297.0,449248.0,0.6127951599116747,0.3799584566866102
Anhui,340000,2010,6396.0,292473.0,443812.0,0.6590020098600308,0.39722797558010825
Anhui,340000,2011,10982.0,289204.0,424199.0,0.681764926367106,0.40538657673152484
Anhui,340000,2012,19391.0,296110.0,412810.0,0.7173033598992272,0.4176917000507815
Anhui,340000,2013,34857.0,324927.0,416723.0,0.7797193819395618,0.4381136654756287
Anhui,340000,2014,49960.0,326438.0,429396.0,0.7602259918583313,0.4318911295337336
Anhui,340000,2015,68314.0,341013.0,433003.0,0.7875534349646538,0.4405761638002315
Anhui,340000,2016,95963.0,329317.0,388305.0,0.8480884871428388,0.4589003681603964
Anhui,340000,2017,93527.0,279668.0,376695.0,0.7424255697580271,0.4260873937135396
Anhui,340000,2018,108782.0,257212.0,369152.0,0.6967644764216366,0.4106430126891073
Anhui,340000,2019,62743.0,267892.0,363296.0,0.737393200035233,0.4244250524407942
Anhui,340000,2020,69663.0,256180.0,351280.0,0.7292757913914826,0.42172324103644687
Anhui,340000,2021,64106.0,263064.0,359916.0,0.7309038775714334,0.4222671674853125
Anhui,340000,2022,65368.0,238826.0,380654.0,0.6274096686229489,0.38552657067217666
Anhui,340000,2023,67093.0,248619.0,387947.0,0.6408581584597897,0.3905628010292727
Anhui,340000,2024,65961.0,221461.0,387337.0,0.5717527630977676,0.3637676207871905
Beijing,110000,1995,,17697.0,23400.0,0.7562820512820513,0.4306153733849186
Beijing,110000,1996,,17233.0,25200.0,0.6838492063492063,0.4061225932646761
Beijing,110000,1997,,18759.0,33000.0,0.5684545454545454,0.36242972236712456
Beijing,110000,1998,,23078.0,39683.0,0.5815588539172946,0.36771243288029193
Beijing,110000,1999,,27266.0,40660.0,0.6705853418593212,0.4014074139504755
Beijing,110000,2000,,28113.0,47569.0,0.5909941348357123,0.3714621706614519
Beijing,110000,2001,4984.0,32053.0,51263.0,0.6252657862395881,0.3847160209323539
Beijing,110000,2002,,31645.0,51180.0,0.6183079327862446,0.3820706308481739
Beijing,110000,2003,,29248.0,56601.0,0.5167399869260261,0.34069121364255844
Beijing,110000,2004,8608.0,65097.0,66556.0,0.978078610493419,0.4944589185206566
Beijing,110000,2005,12102.0,61837.0,73260.0,0.8440758940758941,0.4577229694219709
Beijing,110000,2006,14226.0,60968.0,78037.0,0.7812704230044722,0.43860292795223194
Beijing,110000,2007,18763.0,60581.0,78408.0,0.7726379961228446,0.43586902560634294
Beijing,110000,2008,28394.0,57901.0,78468.0,0.7378931538971301,0.42459063276844444
Beijing,110000,2009,29326.0,56788.0,70132.0,0.809730223008042,0.4474314528837063
Beijing,110000,2010,33466.0,51325.0,62305.0,0.8237701629082738,0.4516852943764851
Beijing,110000,2011,45057.0,51112.0,58275.0,0.8770827970827971,0.4672584493586989
Beijing,110000,2012,52720.0,58915.0,55657.0,1.0585371112348851,0.5142181335753936
Beijing,110000,2013,67554.0,75618.0,58072.0,1.302142168342747,0.5656219612536465
Beijing,110000,2014,78129.0,66964.0,57773.0,1.1590881553666939,0.5368415145466061
Beijing,110000,2015,88930.0,41401.0,57738.0,0.7170494301846271,0.4176055840789195
Beijing,110000,2016,104643.0,29837.0,52841.0,0.5646562328494918,0.36088197585814846
Beijing,110000,2017,99167.0,28981.0,49685.0,0.5832947569689041,0.3684056644547835
Beijing,110000,2018,117664.0,26037.0,51065.0,0.5098795652599628,0.33769552021996835
Beijing,110000,2019,129930.0,22939.0,50390.0,0.4552292121452669,0.31282303045179943
Beijing,110000,2020,145035.0,17864.0,52094.0,0.34291857027680733,0.2553532119271563
Beijing,110000,2021,167608.0,14169.0,45077.0,0.3143288151385407,0.23915538601762143
Beijing,110000,2022,189198.0,12515.0,49775.0,0.2514314414866901,0.20091507465082678
Beijing,110000,2023,205179.0,15527.0,59193.0,0.26231142195867757,0.2078024625267666
Beijing,110000,2024,210052.0,15785.0,59988.0,0.2631359605254384,0.20831958613226348
Chongqing,500000,1995,,,,,
Chongqing,500000,1996,,,,,
Chongqing,500000,1997,,20574.0,28700.0,0.7168641114982578,0.4175427202987377
Chongqing,500000,1998,,20661.0,34959.0,0.591006607740496,0.3714670981661273
Chongqing,500000,1999,,27076.0,36823.0,0.7353013062488118,0.4237312008012645
Chongqing,500000,2000,,29381.0,51793.0,0.5672774313131118,0.36195087096853673
Chongqing,500000,2001,262.0,30798.0,60787.0,0.5066543833385427,0.3362777747447726
Chongqing,500000,2002,,25462.0,62974.0,0.404325594689872,0.2879144239902302
Chongqing,500000,2003,,23414.0,74895.0,0.3126243407437079,0.2381674109186341
Chongqing,500000,2004,562.0,75721.0,102356.0,0.7397807651725351,0.42521493511233904
Chongqing,500000,2005,918.0,100472.0,133654.0,0.7517320843371691,0.4291364478955776
Chongqing,500000,2006,1204.0,103218.0,141448.0,0.729723997511453,0.421873084122845
Chongqing,500000,2007,1601.0,99933.0,144197.0,0.6930310616725729,0.4093433826240118
Chongqing,500000,2008,1997.0,94009.0,156906.0,0.5991421615489528,0.3746647270988183
Chongqing,500000,2009,3845.0,122220.0,161360.0,0.757436787307883,0.43098949150151633
Chongqing,500000,2010,5150.0,125018.0,169522.0,0.7374736022463161,0.42445168737692673
Chongqing,500000,2011,8839.0,118634.0,189652.0,0.6255351907704638,0.3848179936811921
Chongqing,500000,2012,11402.0,108446.0,203616.0,0.5326005814867201,0.34751427600925455
Chongqing,500000,2013,12562.0,102518.0,214128.0,0.4787697078383023,0.32376218237400756
Chongqing,500000,2014,19418.0,115701.0,221234.0,0.5229801929179059,0.34339264249781115
Chongqing,500000,2015,35086.0,108659.0,223647.0,0.4858504697134323,0.3269847670520544
Chongqing,500000,2016,19981.0,99687.0,219224.0,0.45472667226216107,0.31258564301639014
Chongqing,500000,2017,19297.0,94965.0,210874.0,0.450340013467758,0.31050650832627624
Chongqing,500000,2018,22686.0,99289.0,204087.0,0.4865033049630795,0.3272803385897368
Chongqing,500000,2019,20103.0,92141.0,206590.0,0.4460090033399487,0.3084413736773217
Chongqing,500000,2020,22273.0,91948.0,208130.0,0.4417815788209292,0.3064136657802305
Chongqing,500000,2021,24068.0,95217.0,201782.0,0.4718805443498429,0.3205970390472695
Chongqing,500000,2022,28907.0,106766.0,205272.0,0.5201196461280643,0.3421570449752915
Chongqing,500000,2023,30517.0,113077.0,214581.0,0.5269665068202684,0.34510678817547563
Chongqing,500000,2024,32663.0,119532.0,215510.0,0.5546471161431024,0.3567672112750043
Fujian,350000,1995,,22500.0,55700.0,0.40394973070017953,0.2877237851662404
Fujian,350000,1996,,26100.0,49400.0,0.52834008097166,0.3456953642384106
Fujian,350000,1997,,30200.0,49500.0,0.6101010101010101,0.37892095357590966
Fujian,350000,1998,,32900.0,55987.0,0.5876364155964777,0.3701328653233881
Fujian,350000,1999,,32100.0,64024.0,0.5013744845682869,0.3339436561108568
Fujian,350000,2000,,33100.0,78423.0,0.4220700559784757,0.2967997632775302
Fujian,350000,2001,361.0,26000.0,93703.0,0.2774724395163442,0.21720424717843329
Fujian,350000,2002,,37800.0,115812.0,0.32639104755983833,0.24607452542770097
Fujian,350000,2003,,111200.0,139457.0,0.7973784033788193,0.4436341295076539
Fujian,350000,2004,850.0,110300.0,159242.0,0.6926564599791513,0.40921266444561516
Fujian,350000,2005,1202.0,110036.0,182591.0,0.6026364935840212,0.37602818605255156
Fujian,350000,2006,1437.0,124853.0,201834.0,0.6185925067134378,0.38217927251467
Fujian,350000,2007,2170.0,123729.0,233965.0,0.528835509584767,0.34590739570694506
Fujian,350000,2008,2701.0,136510.0,242178.0,0.5636763042059972,0.3604814517491972
Fujian,350000,2009,3842.0,149669.0,248971.0,0.601150334777946,0.37544902669074853
Fujian,350000,2010,5117.0,155293.0,240300.0,0.6462463587182689,0.39255750228138514
Fujian,350000,2011,6896.0,162006.0,226312.0,0.7158524514829085,0.4171993057236595
Fujian,350000,2012,8492.0,175933.0,225581.0,0.7799105421112593,0.438174011366976
Fujian,350000,2013,9884.0,150811.0,231800.0,0.6506082830025884,0.39416273970168136
Fujian,350000,2014,12529.0,152109.0,227273.0,0.6692787968654438,0.40093889536140354
Fujian,350000,2015,17663.0,138364.0,208113.0,0.6648503457256394,0.3993454110951088
Fujian,350000,2016,27041.0,131698.0,196997.0,0.6685279471260984,0.40066931349731516
Fujian,350000,2017,26456.0,117763.0,196523.0,0.5992326597904571,0.37470011390898733
Fujian,350000,2018,37252.0,107814.0,206080.0,0.5231657608695652,0.3434726372597119
Fujian,350000,2019,30019.0,110432.0,210157.0,0.5254738124354649,0.3444659673288853
Fujian,350000,2020,32929.0,98580.0,195880.0,0.5032673065141924,0.33478231338721726
Fujian,350000,2021,31093.0,99079.0,196437.0,0.5043805393077679,0.33527457058162674
Fujian,350000,2022,30581.0,110034.0,206117.0,0.5338424292998637,0.3480425492881566
Fujian,350000,2023,33730.0,116258.0,219650.0,0.5292875028454359,0.3461007180537528
Fujian,350000,2024,37756.0,125253.0,234482.0,0.5341689340759632,0.3481813001237022
Gansu,620000,1995,,17178.0,46900.0,0.3662686567164179,0.2680795280751584
Gansu,620000,1996,,17146.0,48100.0,0.3564656964656965,0.2627900560953928
Gansu,620000,1997,,18323.0,52900.0,0.3463705103969754,0.2572624011906266
Gansu,620000,1998,,20790.0,54794.0,0.37942110450049277,0.2750582133784928
Gansu,620000,1999,,20739.0,53867.0,0.38500380566951936,0.2779803232983942
Gansu,620000,2000,,19921.0,56479.0,0.3527151684696967,0.2607460732984293
Gansu,620000,2001,256.0,21200.0,62793.0,0.33761725033045087,0.2524019858797757
Gansu,620000,2002,,21198.0,72295.0,0.29321529843004357,0.22673355224455308
Gansu,620000,2003,,30383.0,89040.0,0.34122866127583107,0.2544149786891972
Gansu,620000,2004,334.0,49288.0,109055.0,0.4519554353307964,0.31127362750484705
Gansu,620000,2005,712.0,54637.0,138165.0,0.39544747222523796,0.283383989792637
Gansu,620000,2006,550.0,54087.0,164257.0,0.32928277029289466,0.24771461546916793
Gansu,620000,2007,600.0,61882.0,179335.0,0.34506370758636074,0.2565407910719394
Gansu,620000,2008,952.0,75489.0,194146.0,0.3888259351209914,0.27996736328740707
Gansu,620000,2009,1120.0,84114.0,192269.0,0.4374808211412136,0.3043385447006509
Gansu,620000,2010,1412.0,102515.0,195045.0,0.525596657181676,0.34451875252050007
Gansu,620000,2011,2105.0,102760.0,202234.0,0.5081242521039984,0.3369246608129996
Gansu,620000,2012,3265.0,101413.0,213620.0,0.474735511656212,0.32191230759952133
Gansu,620000,2013,3735.0,105043.0,216530.0,0.48511984482519743,0.32665366806292817
Gansu,620000,2014,4986.0,88913.0,223828.0,0.3972380577943778,0.2843023460307411
Gansu,620000,2015,5504.0,87558.0,224408.0,0.39017325585540624,0.28066520069494755
Gansu,620000,2016,6114.0,74645.0,219083.0,0.34071561919455184,0.25412967098812506
Gansu,620000,2017,5785.0,67833.0,208113.0,0.3259431174410056,0.24581983431540955
Gansu,620000,2018,6035.0,58873.0,201083.0,0.2927795984742619,0.22647294157472803
Gansu,620000,2019,6056.0,59734.0,193621.0,0.3085099240268359,0.23577194055771547
Gansu,620000,2020,5684.0,57328.0,181187.0,0.3164023909000094,0.24035385615160473
Gansu,620000,2021,6423.0,52394.0,171143.0,0.306141647628007,0.2343862537298076
Gansu,620000,2022,7005.0,51665.0,170330.0,0.3033229613103975,0.2327304669024077
Gansu,620000,2023,7052.0,51561.0,171028.0,0.301476951142503,0.23164217459083783
Gansu,620000,2024,9215.0,54318.0,169598.0,0.32027500324296276,0.24258203969345649
Guangdong,440000,1995,,44181.0,102600.0,0.4306140350877193,0.30099944815745905
Guangdong,440000,1996,,56777.0,108800.0,0.5218474264705882,0.3429039057357
Guangdong,440000,1997,,65505.0,119100.0,0.55,0.3548387096774194
Guangdong,440000,1998,,75071.0,142876.0,0.5254276435510513,0.3444461268106466
Guangdong,440000,1999,,81678.0,165284.0,0.4941676145301421,0.33073104364234174
Guangdong,440000,2000,,83030.0,182354.0,0.4553231626397008,0.3128673921562717
Guangdong,440000,2001,2549.0,77910.0,206752.0,0.37682827735644636,0.27369301136084195
Guangdong,440000,2002,,71625.0,228122.0,0.3139767317488011,0.23895151577830637
Guangdong,440000,2003,,83871.0,274956.0,0.30503426002705886,0.23373659172804723
Guangdong,440000,2004,8093.0,189729.0,318190.0,0.5962758100505987,0.3735418442704447
Guangdong,440000,2005,12887.0,189083.0,374445.0,0.5049686869900787,0.3355343478939822
Guangdong,440000,2006,21351.0,198252.0,429856.0,0.46120561304250723,0.31563361714864324
Guangdong,440000,2007,26692.0,221502.0,479969.0,0.46149230471134595,0.3157678649580667
Guangdong,440000,2008,28099.0,245300.0,534880.0,0.45860753813939575,0.3144146222666564
Guangdong,440000,2009,32247.0,277650.0,568989.0,0.48797076920643456,0.327943787139501
Guangdong,440000,2010,40866.0,331741.0,567648.0,0.5844132279158916,0.36885152030989926
Guangdong,440000,2011,52012.0,366543.0,630863.0,0.5810183827550515,0.36749628536423484
Guangdong,440000,2012,60448.0,419163.0,688461.0,0.6088405879200129,0.37843437845333794
Guangdong,440000,2013,68990.0,488286.0,723659.0,0.6747459784235392,0.40289452079096
Guangdong,440000,2014,75147.0,457010.0,728690.0,0.6271665591678217,0.38543476427426837
Guangdong,440000,2015,103941.0,417278.0,726690.0,0.574217341644993,0.36476369968390726
Guangdong,440000,2016,155581.0,389163.0,703300.0,0.5533385468505616,0.35622533669332507
Guangdong,440000,2017,182639.0,342297.0,676686.0,0.5058431828056145,0.3359202263433247
Guangdong,440000,2018,216469.0,318470.0,646488.0,0.49261548551558576,0.33003508961011774
Guangdong,440000,2019,203311.0,279317.0,628523.0,0.44440219371447026,0.30767205675008813
Guangdong,440000,2020,215926.0,266124.0,598362.0,0.44475417890842,0.30784072847911936
Guangdong,440000,2021,242551.0,260465.0,592106.0,0.4398958970184393,0.30550534794169637
Guangdong,440000,2022,236957.0,271921.0,631295.0,0.43073523471594105,0.3010586614940391
Guangdong,440000,2023,240223.0,277277.0,664568.0,0.41722893669270866,0.29439769813504346
Guangdong,440000,2024,259373.0,299999.0,696439.0,0.4307613444967901,0.30107141638516394
Guangxi,450000,1995,,28331.0,66000.0,0.4292575757575758,0.30033605071503533
Guangxi,450000,1996,,30377.0,64200.0,0.4731619937694704,0.32118802668724955
Guangxi,450000,1997,,30757.0,64000.0,0.480578125,0.32458815707546673
Guangxi,450000,1998,,31282.0,70988.0,0.44066602806108074,0.30587660115380855
Guangxi,450000,1999,,37553.0,74042.0,0.5071851111531293,0.3365114924503786
Guangxi,450000,2000,,41688.0,81936.0,0.5087873462214412,0.33721607454863134
Guangxi,450000,2001,275.0,43948.0,96368.0,0.4560434999169849,0.31320733202200746
Guangxi,450000,2002,,44292.0,115443.0,0.38366986304929707,0.2772842520424453
Guangxi,450000,2003,,57941.0,140988.0,0.4109640536783272,0.2912647225894666
Guangxi,450000,2004,495.0,88867.0,165146.0,0.538111731437637,0.3498521729202836
Guangxi,450000,2005,641.0,97685.0,193531.0,0.5047511768140505,0.3354383000934015
Guangxi,450000,2006,679.0,102070.0,201957.0,0.5054046158340637,0.33572676111003297
Guangxi,450000,2007,945.0,114824.0,223144.0,0.5145735489190837,0.33974814183591345
Guangxi,450000,2008,1086.0,131577.0,234161.0,0.5619082597016583,0.35975753134757665
Guangxi,450000,2009,1280.0,147542.0,236627.0,0.6235214071090789,0.38405493415658215
Guangxi,450000,2010,1574.0,163557.0,238971.0,0.684421959149855,0.4063245289768662
Guangxi,450000,2011,2757.0,180013.0,238408.0,0.755062749572162,0.4302198025433714
Guangxi,450000,2012,6511.0,214890.0,237474.0,0.9048990626342253,0.4750378014165583
Guangxi,450000,2013,14382.0,267471.0,241922.0,1.1056084192425657,0.5250778868182326
Guangxi,450000,2014,22237.0,230497.0,253288.0,0.9100194245285999,0.4764451150821129
Guangxi,450000,2015,30815.0,231889.0,257331.0,0.9011312278738278,0.4739973835902048
Guangxi,450000,2016,43078.0,224426.0,268465.0,0.8359599947851676,0.455325822544944
Guangxi,450000,2017,37976.0,199722.0,281761.0,0.7088347926079195,0.4148059225351674
Guangxi,450000,2018,20302.0,185663.0,295808.0,0.6276469872349633,0.3856161637980273
Guangxi,450000,2019,12412.0,196423.0,326975.0,0.6007278843948314,0.3752842005510147
Guangxi,450000,2020,12854.0,191496.0,336609.0,0.5688974448098536,0.36260970829664557
Guangxi,450000,2021,13693.0,188153.0,353003.0,0.5330068016419124,0.34768717338438454
Guangxi,450000,2022,13611.0,187836.0,380141.0,0.4941219179199297,0.330710574547913
Guangxi,450000,2023,12471.0,161201.0,394734.0,0.408378806994077,0.289963754755502
Guangxi,450000,2024,14341.0,135073.0,411133.0,0.32853845349315186,0.2472931458094565
Guizhou,520000,1995,,19856.0,37800.0,0.5252910052910053,0.3443874011377827
Guizhou,520000,1996,,21458.0,37800.0,0.5676719576719577,0.36211144486820346
Guizhou,520000,1997,,24682.0,40300.0,0.6124565756823821,0.37982826013357546
Guizhou,520000,1998,,29073.0,43331.0,0.6709515127737647,0.4015385890282305
Guizhou,520000,1999,,33272.0,41231.0,0.8069656326550411,0.44658604351502623
Guizhou,520000,2000,,35003.0,45846.0,0.7634908170832788,0.43294289354228255
Guizhou,520000,2001,178.0,34361.0,47121.0,0.7292077842151058,0.42170049826955647
Guizhou,520000,2002,,36664.0,55499.0,0.6606245157570406,0.3978169113418617
Guizhou,520000,2003,,43248.0,75141.0,0.5755579510520222,0.36530420900590427
Guizhou,520000,2004,450.0,48252.0,94939.0,0.5082421344231559,0.33697648595232943
Guizhou,520000,2005,782.0,43770.0,119161.0,0.3673181661785316,0.2686413266965771
Guizhou,520000,2006,923.0,47250.0,137065.0,0.34472695436471745,0.25635461031386486
Guizhou,520000,2007,874.0,62027.0,149254.0,0.4155801519557265,0.2935758539575258
Guizhou,520000,2008,873.0,75594.0,161279.0,0.46871570384240974,0.31913303753488154
Guizhou,520000,2009,1336.0,82599.0,165392.0,0.4994135145593499,0.3330725711820187
Guizhou,520000,2010,1322.0,100997.0,171704.0,0.5882041187159297,0.3703580111550746
Guizhou,520000,2011,2358.0,90966.0,180203.0,0.5047973674134171,0.3354586991875915
Guizhou,520000,2012,3103.0,100340.0,195861.0,0.5123020917895855,0.33875645254404946
Guizhou,520000,2013,3988.0,100281.0,210409.0,0.476600335536978,0.32276867617239047
Guizhou,520000,2014,8203.0,108500.0,238495.0,0.4549361621836936,0.3126846208158619
Guizhou,520000,2015,7538.0,118846.0,280735.0,0.4233387358184765,0.29742655431564563
Guizhou,520000,2016,10953.0,173046.0,307414.0,0.5629086508747162,0.36016733963285186
Guizhou,520000,2017,13885.0,158978.0,323440.0,0.4915223843680435,0.32954408832174586
Guizhou,520000,2018,14992.0,152670.0,330559.0,0.46185401093299533,0.31593716436720476
Guizhou,520000,2019,10770.0,142170.0,333356.0,0.42648099929204814,0.2989741885827484
Guizhou,520000,2020,10693.0,134772.0,340290.0,0.3960504275764789,0.2836934968488324
Guizhou,520000,2021,9869.0,128181.0,327933.0,0.39087557519371335,0.28102842710375037
Guizhou,520000,2022,10732.0,114579.0,313442.0,0.36555088341702774,0.26769480936683016
Guizhou,520000,2023,11954.0,105322.0,318658.0,0.3305173571666175,0.24841266097457426
Guizhou,520000,2024,12230.0,116515.0,315926.0,0.36880472009267995,0.26943559930718874
Hainan,460000,1995,,4583.0,12600.0,0.36373015873015874,0.2667171041145318
Hainan,460000,1996,,5621.0,11600.0,0.4845689655172414,0.32640380930259566
Hainan,460000,1997,,6402.0,12100.0,0.5290909090909091,0.3460166468489893
Hainan,460000,1998,,7224.0,13568.0,0.5324292452830188,0.3474413235859946
Hainan,460000,1999,,8291.0,13219.0,0.6272032680232998,0.38544862854486284
Hainan,460000,2000,,8613.0,14010.0,0.6147751605995717,0.3807187375679618
Hainan,460000,2001,89.0,9578.0,16134.0,0.5936531548283129,0.3725108898568762
Hainan,460000,2002,,8885.0,20076.0,0.4425682406853955,0.30679189254514694
Hainan,460000,2003,,9637.0,22299.0,0.43217184627113325,0.3017597695390782
Hainan,460000,2004,137.0,12367.0,26749.0,0.462335040562264,0.3161621842724205
Hainan,460000,2005,176.0,12598.0,30677.0,0.4106659712488183,0.2911149624494512
Hainan,460000,2006,246.0,14087.0,32472.0,0.43381990638088197,0.3025623402564488
Hainan,460000,2007,278.0,16642.0,38193.0,0.43573429686068127,0.30349229506701925
Hainan,460000,2008,331.0,20270.0,45461.0,0.4458766855106575,0.3083780864432307
Hainan,460000,2009,456.0,22003.0,51332.0,0.4286410036624328,0.30003409013431515
Hainan,460000,2010,572.0,29692.0,50598.0,0.5868216135025099,0.3698094407771827
Hainan,460000,2011,732.0,32182.0,51487.0,0.6250509837434692,0.3846346914627879
